USER           PID  PPID NAME                        ARGS                       
root           472     2 [irq/999-msoc-fu]           [irq/999-msoc-fu]
root           473     2 [irq/1000-vbatt-]           [irq/1000-vbatt-]
root           474     2 [irq/1001-vbatt-]           [irq/1001-vbatt-]
root           475     2 [irq/1002-esr-de]           [irq/1002-esr-de]
root           476     2 [irq/1003-batt-m]           [irq/1003-batt-m]
root           477     2 [irq/1004-batt-t]           [irq/1004-batt-t]
root           478     2 [irq/1005-ima-rd]           [irq/1005-ima-rd]
root           479     2 [irq/1006-mem-xc]           [irq/1006-mem-xc]
root           480     2 [irq/1007-dma-gr]           [irq/1007-dma-gr]
root           481     2 [irq/54-qcom,tem]           [irq/54-qcom,tem]
root           485     2 [synaptics_wq]              [synaptics_wq]
root           486     2 [get_base_report]           [get_base_report]
root           487     2 [irq/493-pwr_eve]           [irq/493-pwr_eve]
root           488     2 [irq/492-dp_hs_p]           [irq/492-dp_hs_p]
root           489     2 [irq/495-dm_hs_p]           [irq/495-dm_hs_p]
root           490     2 [irq/494-ss_phy_]           [irq/494-ss_phy_]
root           491     2 [irq/190-arm-smm]           [irq/190-arm-smm]
root           492     2 [core_ctl/0]                [core_ctl/0]
root           493     2 [core_ctl/4]                [core_ctl/4]
root           498     2 [rq_stats]                  [rq_stats]
root           499     2 [msm_perf:events]           [msm_perf:events]
root           500     2 [irq/191-arm-smm]           [irq/191-arm-smm]
root           501     2 [irq/192-arm-smm]           [irq/192-arm-smm]
root           502     2 [irq/193-arm-smm]           [irq/193-arm-smm]
root           503     2 [irq/194-arm-smm]           [irq/194-arm-smm]
root           504     2 [irq/195-arm-smm]           [irq/195-arm-smm]
root           505     2 [irq/196-arm-smm]           [irq/196-arm-smm]
root           506     2 [irq/197-arm-smm]           [irq/197-arm-smm]
root           507     2 [irq/198-arm-smm]           [irq/198-arm-smm]
root           508     2 [irq/199-arm-smm]           [irq/199-arm-smm]
root           509     2 [irq/200-arm-smm]           [irq/200-arm-smm]
root           510     2 [irq/201-arm-smm]           [irq/201-arm-smm]
root           511     2 [sb-1]                      [sb-1]
root           512     2 [ngd_rx_thread1]            [ngd_rx_thread1]
root           513     2 [ngd_notify_sl1]            [ngd_notify_sl1]
root           514     2 [sb-3]                      [sb-3]
root           515     2 [ngd_rx_thread3]            [ngd_rx_thread3]
root           516     2 [ngd_notify_sl3]            [ngd_notify_sl3]
root           517     2 [cpu_boost_worke]           [cpu_boost_worke]
root           518     2 [irq/87-qpnp_fla]           [irq/87-qpnp_fla]
root           519     2 [irq/86-qpnp_fla]           [irq/86-qpnp_fla]
root           520     2 [irq/85-qpnp_fla]           [irq/85-qpnp_fla]
root           522     2 [irq/377-synapti]           [irq/377-synapti]
root           528     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           529     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           533     2 [kauditd]                   [kauditd]
root           536     1 init                        init subcontext u:r:vendor_init:s0 16
root           537     1 ueventd                     ueventd
root           548     2 [bioset]                    [bioset]
root           549     2 [bioset]                    [bioset]
root           550     2 [bioset]                    [bioset]
root           551     2 [bioset]                    [bioset]
root           552     2 [bioset]                    [bioset]
root           553     2 [bioset]                    [bioset]
root           554     2 [bioset]                    [bioset]
root           555     2 [bioset]                    [bioset]
root           556     2 [bioset]                    [bioset]
root           557     2 [bioset]                    [bioset]
root           558     2 [bioset]                    [bioset]
root           559     2 [bioset]                    [bioset]
root           560     2 [bioset]                    [bioset]
root           561     2 [bioset]                    [bioset]
root           562     2 [bioset]                    [bioset]
root           563     2 [bioset]                    [bioset]
root           564     2 [bioset]                    [bioset]
root           565     2 [bioset]                    [bioset]
root           566     2 [bioset]                    [bioset]
root           567     2 [bioset]                    [bioset]
root           569     2 [kdmflush]                  [kdmflush]
root           571     2 [kdmflush]                  [kdmflush]
root           575     2 [kdmflush]                  [kdmflush]
root           577     2 [kdmflush]                  [kdmflush]
root           583     2 [kdmflush]                  [kdmflush]
root           585     2 [kdmflush]                  [kdmflush]
root           587     2 [kdmflush]                  [kdmflush]
root           593     2 [kdmflush]                  [kdmflush]
root           595     2 [kdmflush]                  [kdmflush]
root           597     2 [kdmflush]                  [kdmflush]
root           601     2 [kdmflush]                  [kdmflush]
root           603     2 [kdmflush]                  [kdmflush]
root           607     2 [kdmflush]                  [kdmflush]
root           611     2 [kdmflush]                  [kdmflush]
root           613     2 [kdmflush]                  [kdmflush]
root           615     2 [kdmflush]                  [kdmflush]
root           617     2 [kdmflush]                  [kdmflush]
root           621     2 [kdmflush]                  [kdmflush]
root           623     2 [kdmflush]                  [kdmflush]
root           627     2 [kdmflush]                  [kdmflush]
root           631     2 [kdmflush]                  [kdmflush]
root           633     2 [kdmflush]                  [kdmflush]
root           637     2 [loop0]                     [loop0]
root           638     2 [loop1]                     [loop1]
root           639     2 [loop2]                     [loop2]
root           640     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           641     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           642     2 [ext4-rsv-conver]           [ext4-rsv-conver]
prng_seeder    646     1 prng_seeder                 prng_seeder
logd           657     1 logd                        logd
system         659     1 servicemanager              servicemanager
system         660     1 hwservicemanager            hwservicemanager
system         661     1 vndservicemanager           vndservicemanager /dev/vndbinder
system         671     1 vendor.qti.hardware.qseecom@1.0-service vendor.qti.hardware.qseecom@1.0-service
root           672     1 vold                        vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
root           681     2 [jbd2/sda7-8]               [jbd2/sda7-8]
root           682     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           686     2 [jbd2/sda17-8]              [jbd2/sda17-8]
root           687     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           688     2 [jbd2/sde9-8]               [jbd2/sde9-8]
root           689     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           690     2 [jbd2/sda2-8]               [jbd2/sda2-8]
root           691     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           693     2 [jbd2/sde59-8]              [jbd2/sde59-8]
root           694     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           696     2 [irq/202-arm-smm]           [irq/202-arm-smm]
root           697     2 [irq/203-arm-smm]           [irq/203-arm-smm]
root           698     2 [irq/204-arm-smm]           [irq/204-arm-smm]
system         701     1 qseecomd                    qseecomd
system         702     1 android.system.suspend-service android.system.suspend-service
keystore       703     1 keystore2                   keystore2 /data/misc/keystore
root           704     1 android.hardware.boot-service.qti android.hardware.boot-service.qti
system         709     1 android.hardware.gatekeeper@1.0-service-qti android.hardware.gatekeeper@1.0-service-qti
system         710     1 android.hardware.keymaster@3.0-service-qti android.hardware.keymaster@3.0-service-qti
nfc            713     1 android.hardware.nfc-service.nxp android.hardware.nfc-service.nxp
system         716     1 sscrpcd                     sscrpcd sensorspd
tombstoned     741     1 tombstoned                  tombstoned
root           755     2 [loop3]                     [loop3]
root           783     2 [loop4]                     [loop4]
root           784     2 [loop5]                     [loop5]
root           785     2 [loop6]                     [loop6]
root           786     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           787     2 [loop7]                     [loop7]
root           788     2 [loop8]                     [loop8]
root           789     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           790     2 [loop9]                     [loop9]
root           791     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           792     2 [loop10]                    [loop10]
root           793     2 [loop11]                    [loop11]
root           794     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           795     2 [loop12]                    [loop12]
root           796     2 [loop13]                    [loop13]
root           797     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           798     2 [loop14]                    [loop14]
root           799     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           800     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           801     2 [loop15]                    [loop15]
root           802     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           803     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           804     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           805     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           806     2 [bioset]                    [bioset]
root           807     2 [loop16]                    [loop16]
root           808     2 [kverityd]                  [kverityd]
root           809     2 [bioset]                    [bioset]
root           810     2 [loop17]                    [loop17]
root           811     2 [bioset]                    [bioset]
root           812     2 [bioset]                    [bioset]
